Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0,,,,
Available at: www.wittgensteincentre.org/dataexplorer ,,,,
,,,,
,,,,
Population Size by Education (000's),,,,
"De facto population in a country or region, classified by sex and by five-year age groups. Available by level of educational attainment, in all scenarios, and at all geographical scales. Figures are presented in thousands. <br><br> Data for 1950 to 2015: Based on <a href=""http://esa.un.org/wpp/documentation/WPP%202010%20publications.htm"">UN Population Division, World Population Prospects 2017</a>",,,,
Malawi,2010,Incomplete Primary,454,1938.9
Malaysia,2010,Incomplete Primary,458,1213
Maldives,2010,Incomplete Primary,462,46.8
Mali,2010,Incomplete Primary,466,826
Malta,2010,Incomplete Primary,470,0
Martinique,2010,Incomplete Primary,474,36.9
Mauritius,2010,Incomplete Primary,480,210.8
Mexico,2010,Incomplete Primary,484,10398.2
Micronesia (Federated States of),2010,Incomplete Primary,583,1.9
Mongolia,2010,Incomplete Primary,496,41.9
Montenegro,2010,Incomplete Primary,499,10.2
Morocco,2010,Incomplete Primary,504,1949.9
Mozambique,2010,Incomplete Primary,508,2265.5
Myanmar,2010,Incomplete Primary,104,8095.1
Namibia,2010,Incomplete Primary,516,264.1
Nepal,2010,Incomplete Primary,524,1269.3
Netherlands,2010,Incomplete Primary,528,247.4
New Caledonia,2010,Incomplete Primary,540,9.2
New Zealand,2010,Incomplete Primary,554,0
Nicaragua,2010,Incomplete Primary,558,887.9
Niger,2010,Incomplete Primary,562,982.7
Nigeria,2010,Incomplete Primary,566,4140.3
Norway,2010,Incomplete Primary,578,0
Occupied Palestinian Territory,2010,Incomplete Primary,275,125.2
Oman,2010,Incomplete Primary,512,313.6
Pakistan,2010,Incomplete Primary,586,5365.3
Panama,2010,Incomplete Primary,591,222.3
Paraguay,2010,Incomplete Primary,600,891.7
Peru,2010,Incomplete Primary,604,2867.5
Philippines,2010,Incomplete Primary,608,6896.5
Poland,2010,Incomplete Primary,616,0
Portugal,2010,Incomplete Primary,620,2363.7
Puerto Rico,2010,Incomplete Primary,630,186.2
Qatar,2010,Incomplete Primary,634,366.6
Republic of Korea,2010,Incomplete Primary,410,331.5
Republic of Moldova,2010,Incomplete Primary,498,55.8
Reunion,2010,Incomplete Primary,638,55
Romania,2010,Incomplete Primary,642,106.3
Russian Federation,2010,Incomplete Primary,643,260.5
Rwanda,2010,Incomplete Primary,646,2965.6
Saint Lucia,2010,Incomplete Primary,662,3.8
Saint Vincent and the Grenadines,2010,Incomplete Primary,670,3.4
Samoa,2010,Incomplete Primary,882,1.4
Sao Tome and Principe,2010,Incomplete Primary,678,42.9
Saudi Arabia,2010,Incomplete Primary,682,1008.5
Senegal,2010,Incomplete Primary,686,572.8
Serbia,2010,Incomplete Primary,688,99.1
Sierra Leone,2010,Incomplete Primary,694,437.2
Singapore,2010,Incomplete Primary,702,290.7
Slovakia,2010,Incomplete Primary,703,0
Slovenia,2010,Incomplete Primary,705,0
Solomon Islands,2010,Incomplete Primary,90,65.5
Somalia,2010,Incomplete Primary,706,1477.9
South Africa,2010,Incomplete Primary,710,3922.4
South Sudan,2010,Incomplete Primary,728,0
Spain,2010,Incomplete Primary,724,3424.6
Sri Lanka,2010,Incomplete Primary,144,432.9
Sudan,2010,Incomplete Primary,729,3862.4
Suriname,2010,Incomplete Primary,740,27.3
Swaziland,2010,Incomplete Primary,748,151.5
Sweden,2010,Incomplete Primary,752,0
Switzerland,2010,Incomplete Primary,756,0
Syrian Arab Republic,2010,Incomplete Primary,760,3911.4
Taiwan Province of China,2010,Incomplete Primary,158,516.2
Tajikistan,2010,Incomplete Primary,762,16.4
Thailand,2010,Incomplete Primary,764,1509
The former Yugoslav Republic of Macedonia,2010,Incomplete Primary,807,203.9
Timor-Leste,2010,Incomplete Primary,626,67
Togo,2010,Incomplete Primary,768,745.1
Tonga,2010,Incomplete Primary,776,0.6
Trinidad and Tobago,2010,Incomplete Primary,780,67.2
Tunisia,2010,Incomplete Primary,788,76.9
Turkey,2010,Incomplete Primary,792,3420.8
Turkmenistan,2010,Incomplete Primary,795,14.4
Uganda,2010,Incomplete Primary,800,6260
Ukraine,2010,Incomplete Primary,804,559.1
United Arab Emirates,2010,Incomplete Primary,784,852.3
United Kingdom of Great Britain and Northern Ireland,2010,Incomplete Primary,826,0
United Republic of Tanzania,2010,Incomplete Primary,834,3080.9
United States of America,2010,Incomplete Primary,840,2592
Uruguay,2010,Incomplete Primary,858,247.8
Vanuatu,2010,Incomplete Primary,548,32.1
Venezuela (Bolivarian Republic of),2010,Incomplete Primary,862,1780.8
Viet Nam,2010,Incomplete Primary,704,10112.3
World,2010,Incomplete Primary,900,367221.1
Yemen,2010,Incomplete Primary,887,0
Zambia,2010,Incomplete Primary,894,1691.9
Zimbabwe,2010,Incomplete Primary,716,799.3
Afghanistan,2010,Primary,4,3302.5
Albania,2010,Primary,8,193.4
Algeria,2010,Primary,12,2657.8
Angola,2010,Primary,24,2734.9
Argentina,2010,Primary,32,10143.6
Armenia,2010,Primary,51,68.1
Aruba,2010,Primary,533,18
Australia,2010,Primary,36,1064.9
Austria,2010,Primary,40,764.4
Azerbaijan,2010,Primary,31,158.7
Bahamas,2010,Primary,44,13.7
Bahrain,2010,Primary,48,134.2
Bangladesh,2010,Primary,50,20568.7
Belarus,2010,Primary,112,535.2
Belgium,2010,Primary,56,1141.8
Belize,2010,Primary,84,67.8
Benin,2010,Primary,204,1056
Bhutan,2010,Primary,64,29.7
Bolivia (Plurinational State of),2010,Primary,68,980.1
Bosnia and Herzegovina,2010,Primary,70,356.9
Botswana,2010,Primary,72,311.3
Brazil,2010,Primary,76,32182.1
Bulgaria,2010,Primary,100,345.4
Burkina Faso,2010,Primary,854,518.6
Burundi,2010,Primary,108,1178.2
Cambodia,2010,Primary,116,2500.4
Cameroon,2010,Primary,120,3972.7
Canada,2010,Primary,124,1436
Cape Verde,2010,Primary,132,58.1
Central African Republic,2010,Primary,140,528.5
Chad,2010,Primary,148,840.1
Chile,2010,Primary,152,976.4
China,2010,Primary,156,185680.6
Colombia,2010,Primary,170,9192.2
Comoros,2010,Primary,174,108.4
Congo,2010,Primary,178,976.1
Costa Rica,2010,Primary,188,1240.7
Cote d'Ivoire,2010,Primary,384,2188.6
Croatia,2010,Primary,191,240
Cuba,2010,Primary,192,1123.6
Curaçao,2010,Primary,531,21.7
Cyprus,2010,Primary,196,122.4
Czech Republic,2010,Primary,203,34.7
Democratic People's Republic of Korea,2010,Primary,408,1096.5
Democratic Republic of the Congo,2010,Primary,180,5480.6
Denmark,2010,Primary,208,16.7
Dominican Republic,2010,Primary,214,748.5
Ecuador,2010,Primary,218,2553.8
Egypt,2010,Primary,818,2876.1
El Salvador,2010,Primary,222,739.5
Equatorial Guinea,2010,Primary,226,231.3
Estonia,2010,Primary,233,69.3
Ethiopia,2010,Primary,231,6856.4
Fiji,2010,Primary,242,133.8
Finland,2010,Primary,246,686.5
France,2010,Primary,250,10126.8
French Guiana,2010,Primary,254,36.3
French Polynesia,2010,Primary,258,24.4
Gabon,2010,Primary,266,396.2
Gambia,2010,Primary,270,95.4
Georgia,2010,Primary,268,123
Germany,2010,Primary,276,3525.1
Ghana,2010,Primary,288,2034.5
Greece,2010,Primary,300,2292.6
Guadeloupe,2010,Primary,312,85.5
Guatemala,2010,Primary,320,1871.5
Guinea,2010,Primary,324,679.5
Guinea-Bissau,2010,Primary,624,146
Guyana,2010,Primary,328,82.6
Haiti,2010,Primary,332,874.8
Honduras,2010,Primary,340,1378.2
Hong Kong Special Administrative Region of China,2010,Primary,344,952.7
Hungary,2010,Primary,348,363.7
Iceland,2010,Primary,352,6.3
India,2010,Primary,356,122603.5
Indonesia,2010,Primary,360,56661.3
Iran (Islamic Republic of),2010,Primary,364,9910.4
Iraq,2010,Primary,368,5146.4
Ireland,2010,Primary,372,664.6
Israel,2010,Primary,376,796.8
Italy,2010,Primary,380,9122.1
Jamaica,2010,Primary,388,269.4
Japan,2010,Primary,392,4153.7
Jordan,2010,Primary,400,725.8
Kazakhstan,2010,Primary,398,398.7
Kenya,2010,Primary,404,4326
Kiribati,2010,Primary,296,12.1
Kuwait,2010,Primary,414,239.2
Kyrgyzstan,2010,Primary,417,256.9
Lao People's Democratic Republic,2010,Primary,418,991.4
Latvia,2010,Primary,428,75.5
Lebanon,2010,Primary,422,710.5
Lesotho,2010,Primary,426,416.5
Liberia,2010,Primary,430,298.7
Lithuania,2010,Primary,440,243.1
Luxembourg,2010,Primary,442,85.1
Macao Special Administrative Region of China,2010,Primary,446,80.6
Madagascar,2010,Primary,450,2586.6
Malawi,2010,Primary,454,1220.1
Malaysia,2010,Primary,458,2051.7
Maldives,2010,Primary,462,98.1
Mali,2010,Primary,466,614.4
Malta,2010,Primary,470,65.7
Martinique,2010,Primary,474,72.6
Mauritius,2010,Primary,480,223.5
Mexico,2010,Primary,484,17813.5
Micronesia (Federated States of),2010,Primary,583,8.6
Mongolia,2010,Primary,496,202.8
Montenegro,2010,Primary,499,34.3
Morocco,2010,Primary,504,3737.5
Mozambique,2010,Primary,508,661.7
Myanmar,2010,Primary,104,8025.6
Namibia,2010,Primary,516,337.8
Nepal,2010,Primary,524,2664
Netherlands,2010,Primary,528,1571.2
New Caledonia,2010,Primary,540,23
New Zealand,2010,Primary,554,452.5
Nicaragua,2010,Primary,558,882.3
Niger,2010,Primary,562,960.4
Nigeria,2010,Primary,566,16566.4
Norway,2010,Primary,578,16.6
Occupied Palestinian Territory,2010,Primary,275,327
Oman,2010,Primary,512,359.7
Pakistan,2010,Primary,586,11155.2
Panama,2010,Primary,591,650.1
Paraguay,2010,Primary,600,1320.8
Peru,2010,Primary,604,2463
Philippines,2010,Primary,608,13700.4
Poland,2010,Primary,616,1358.4
Portugal,2010,Primary,620,1191.5
Puerto Rico,2010,Primary,630,235.4
Qatar,2010,Primary,634,320.8
Republic of Korea,2010,Primary,410,4383
Republic of Moldova,2010,Primary,498,243
Reunion,2010,Primary,638,167
Romania,2010,Primary,642,1681.6
Russian Federation,2010,Primary,643,8285.4
Rwanda,2010,Primary,646,1027
Saint Lucia,2010,Primary,662,53.8
Saint Vincent and the Grenadines,2010,Primary,670,35.9
Samoa,2010,Primary,882,41
Sao Tome and Principe,2010,Primary,678,27.2
Saudi Arabia,2010,Primary,682,2959.3
Senegal,2010,Primary,686,1346
Serbia,2010,Primary,688,558.1
Sierra Leone,2010,Primary,694,355.5
Singapore,2010,Primary,702,261.2
Slovakia,2010,Primary,703,99.3
Slovenia,2010,Primary,705,52.8
Solomon Islands,2010,Primary,90,103.2
Somalia,2010,Primary,706,350.8
South Africa,2010,Primary,710,4945.5
South Sudan,2010,Primary,728,753
Spain,2010,Primary,724,5858.3
Sri Lanka,2010,Primary,144,1670.5
Sudan,2010,Primary,729,601.4
Suriname,2010,Primary,740,99.8
Swaziland,2010,Primary,748,190.7
Sweden,2010,Primary,752,1014.9
Switzerland,2010,Primary,756,487.4
Syrian Arab Republic,2010,Primary,760,2349.5
Taiwan Province of China,2010,Primary,158,2713.8
Tajikistan,2010,Primary,762,138.4
Thailand,2010,Primary,764,23801.9
The former Yugoslav Republic of Macedonia,2010,Primary,807,149.4
Timor-Leste,2010,Primary,626,44.9
Togo,2010,Primary,768,961.8
Tonga,2010,Primary,776,13.2
Trinidad and Tobago,2010,Primary,780,196.9
Tunisia,2010,Primary,788,2063.2
Turkey,2010,Primary,792,14920.7
Turkmenistan,2010,Primary,795,68.1
Uganda,2010,Primary,800,4941.2
Ukraine,2010,Primary,804,1674.8
United Arab Emirates,2010,Primary,784,824.2
United Kingdom of Great Britain and Northern Ireland,2010,Primary,826,0
United Republic of Tanzania,2010,Primary,834,13751.2
United States of America,2010,Primary,840,9853.3
Uruguay,2010,Primary,858,917.2
Vanuatu,2010,Primary,548,43.3
Venezuela (Bolivarian Republic of),2010,Primary,862,2969
Viet Nam,2010,Primary,704,18369.8
World,2010,Primary,900,800371.1
Yemen,2010,Primary,887,415.1
Zambia,2010,Primary,894,1718.4
Zimbabwe,2010,Primary,716,1418.2
Afghanistan,2010,Lower Secondary,4,0
Albania,2010,Lower Secondary,8,1022.2
Algeria,2010,Lower Secondary,12,7676.9
Angola,2010,Lower Secondary,24,884.1
Argentina,2010,Lower Secondary,32,3429.5
Armenia,2010,Lower Secondary,51,269.8
Aruba,2010,Lower Secondary,533,25.9
Australia,2010,Lower Secondary,36,1055.2
Austria,2010,Lower Secondary,40,1387.5
Azerbaijan,2010,Lower Secondary,31,1128.9
Bahamas,2010,Lower Secondary,44,22.9
Bahrain,2010,Lower Secondary,48,176.7
Bangladesh,2010,Lower Secondary,50,16865.8
Belarus,2010,Lower Secondary,112,755.3
Belgium,2010,Lower Secondary,56,2434
Belize,2010,Lower Secondary,84,24.8
Benin,2010,Lower Secondary,204,519.6
Bhutan,2010,Lower Secondary,64,95.9
Bolivia (Plurinational State of),2010,Lower Secondary,68,1855.1
Bosnia and Herzegovina,2010,Lower Secondary,70,649.9
Botswana,2010,Lower Secondary,72,321.4
Brazil,2010,Lower Secondary,76,28939.4
Bulgaria,2010,Lower Secondary,100,1600.1
Burkina Faso,2010,Lower Secondary,854,607.8
Burundi,2010,Lower Secondary,108,219.3
Cambodia,2010,Lower Secondary,116,1384.5
Cameroon,2010,Lower Secondary,120,2058.9
Canada,2010,Lower Secondary,124,4198
Cape Verde,2010,Lower Secondary,132,76.6
Central African Republic,2010,Lower Secondary,140,441.8
Chad,2010,Lower Secondary,148,349.9
Chile,2010,Lower Secondary,152,4031.8
China,2010,Lower Secondary,156,485809.3
Colombia,2010,Lower Secondary,170,3528.1
Comoros,2010,Lower Secondary,174,59.1
Congo,2010,Lower Secondary,178,472.6
Costa Rica,2010,Lower Secondary,188,460.1
Cote d'Ivoire,2010,Lower Secondary,384,1124.1
Croatia,2010,Lower Secondary,191,807.3
Cuba,2010,Lower Secondary,192,3121.3
Curaçao,2010,Lower Secondary,531,48.6
Cyprus,2010,Lower Secondary,196,133.3
Czech Republic,2010,Lower Secondary,203,1766.5
Democratic People's Republic of Korea,2010,Lower Secondary,408,0
Democratic Republic of the Congo,2010,Lower Secondary,180,9125.3
Denmark,2010,Lower Secondary,208,1557.7
Dominican Republic,2010,Lower Secondary,214,1762.2
Ecuador,2010,Lower Secondary,218,1811.8
Egypt,2010,Lower Secondary,818,6846.8
El Salvador,2010,Lower Secondary,222,930
Equatorial Guinea,2010,Lower Secondary,226,140.6
Estonia,2010,Lower Secondary,233,235.9
Ethiopia,2010,Lower Secondary,231,1975
Fiji,2010,Lower Secondary,242,218.5
Finland,2010,Lower Secondary,246,690.9
France,2010,Lower Secondary,250,7313.7
French Guiana,2010,Lower Secondary,254,22.9
French Polynesia,2010,Lower Secondary,258,44.8
Gabon,2010,Lower Secondary,266,186.5
Gambia,2010,Lower Secondary,270,115.8
Georgia,2010,Lower Secondary,268,338.4
Germany,2010,Lower Secondary,276,12702
Ghana,2010,Lower Secondary,288,4816.4
Greece,2010,Lower Secondary,300,1303.6
Guadeloupe,2010,Lower Secondary,312,52.7
Guatemala,2010,Lower Secondary,320,1256.4
Guinea,2010,Lower Secondary,324,516.5
Guinea-Bissau,2010,Lower Secondary,624,68.1
Guyana,2010,Lower Secondary,328,171.2
Haiti,2010,Lower Secondary,332,933.2
Honduras,2010,Lower Secondary,340,507.6
Hong Kong Special Administrative Region of China,2010,Lower Secondary,344,1183.9
Hungary,2010,Lower Secondary,348,2340
Iceland,2010,Lower Secondary,352,99.4
India,2010,Lower Secondary,356,119264.1
Indonesia,2010,Lower Secondary,360,36795
Iran (Islamic Republic of),2010,Lower Secondary,364,14214.1
Iraq,2010,Lower Secondary,368,2477.7
Ireland,2010,Lower Secondary,372,591.6
Israel,2010,Lower Secondary,376,1044.2
Italy,2010,Lower Secondary,380,16562.6
Jamaica,2010,Lower Secondary,388,1106.3
Japan,2010,Lower Secondary,392,19544.2
Jordan,2010,Lower Secondary,400,696.8
Kazakhstan,2010,Lower Secondary,398,1553.5
Kenya,2010,Lower Secondary,404,6497.8
Kiribati,2010,Lower Secondary,296,14.8
Kuwait,2010,Lower Secondary,414,697.7
Kyrgyzstan,2010,Lower Secondary,417,688.9
Lao People's Democratic Republic,2010,Lower Secondary,418,607.5
Latvia,2010,Lower Secondary,428,347.7
Lebanon,2010,Lower Secondary,422,1100.1
Lesotho,2010,Lower Secondary,426,137.4
Liberia,2010,Lower Secondary,430,247
Lithuania,2010,Lower Secondary,440,380
Luxembourg,2010,Lower Secondary,442,71.3
Macao Special Administrative Region of China,2010,Lower Secondary,446,120.5
Madagascar,2010,Lower Secondary,450,1007.7
Malawi,2010,Lower Secondary,454,1863
Malaysia,2010,Lower Secondary,458,4697.2
Maldives,2010,Lower Secondary,462,70.8
Mali,2010,Lower Secondary,466,424.7
Malta,2010,Lower Secondary,470,144.2
Martinique,2010,Lower Secondary,474,48.8
Mauritius,2010,Lower Secondary,480,159
Mexico,2010,Lower Secondary,484,25977.8
Micronesia (Federated States of),2010,Lower Secondary,583,26.5
Mongolia,2010,Lower Secondary,496,382.8
Montenegro,2010,Lower Secondary,499,109.5
Morocco,2010,Lower Secondary,504,3119.4
Mozambique,2010,Lower Secondary,508,1626
Myanmar,2010,Lower Secondary,104,8029.7
Namibia,2010,Lower Secondary,516,234.2
Nepal,2010,Lower Secondary,524,1988
Netherlands,2010,Lower Secondary,528,3271.4
New Caledonia,2010,Lower Secondary,540,36.2
New Zealand,2010,Lower Secondary,554,370.1
Nicaragua,2010,Lower Secondary,558,457.3
Niger,2010,Lower Secondary,562,198.2
Nigeria,2010,Lower Secondary,566,8407.9
Norway,2010,Lower Secondary,578,1148.4
Occupied Palestinian Territory,2010,Lower Secondary,275,951.5
Oman,2010,Lower Secondary,512,366.3
Pakistan,2010,Lower Secondary,586,14242.2
Panama,2010,Lower Secondary,591,435.2
Paraguay,2010,Lower Secondary,600,717
Peru,2010,Lower Secondary,604,2761.1
Philippines,2010,Lower Secondary,608,5239.4
Poland,2010,Lower Secondary,616,6769.1
Portugal,2010,Lower Secondary,620,1797.8
Puerto Rico,2010,Lower Secondary,630,396.9
Qatar,2010,Lower Secondary,634,186.8
Republic of Korea,2010,Lower Secondary,410,5557.6
Republic of Moldova,2010,Lower Secondary,498,984.1
Reunion,2010,Lower Secondary,638,96.8
Romania,2010,Lower Secondary,642,5009.7
Russian Federation,2010,Lower Secondary,643,13429.7
Rwanda,2010,Lower Secondary,646,333.9
Saint Lucia,2010,Lower Secondary,662,13.4
Saint Vincent and the Grenadines,2010,Lower Secondary,670,14.4
Samoa,2010,Lower Secondary,882,44.1
Sao Tome and Principe,2010,Lower Secondary,678,10.4
Saudi Arabia,2010,Lower Secondary,682,4168.4
Senegal,2010,Lower Secondary,686,712.6
Serbia,2010,Lower Secondary,688,1690
Sierra Leone,2010,Lower Secondary,694,403.2
Singapore,2010,Lower Secondary,702,514.9
Slovakia,2010,Lower Secondary,703,800.4
Slovenia,2010,Lower Secondary,705,417.7
Solomon Islands,2010,Lower Secondary,90,40.3
Somalia,2010,Lower Secondary,706,670.1
South Africa,2010,Lower Secondary,710,11146.3
South Sudan,2010,Lower Secondary,728,0
Spain,2010,Lower Secondary,724,11666.6
Sri Lanka,2010,Lower Secondary,144,4072.8
Sudan,2010,Lower Secondary,729,2133.8
Suriname,2010,Lower Secondary,740,159
Swaziland,2010,Lower Secondary,748,121.8
Sweden,2010,Lower Secondary,752,1488.9
Switzerland,2010,Lower Secondary,756,1198.4
Syrian Arab Republic,2010,Lower Secondary,760,2046.2
Taiwan Province of China,2010,Lower Secondary,158,3805.1
Tajikistan,2010,Lower Secondary,762,812.5
Thailand,2010,Lower Secondary,764,8182.4
The former Yugoslav Republic of Macedonia,2010,Lower Secondary,807,382.5
Timor-Leste,2010,Lower Secondary,626,85.3
Togo,2010,Lower Secondary,768,277.9
Tonga,2010,Lower Secondary,776,33.9
Trinidad and Tobago,2010,Lower Secondary,780,276
Tunisia,2010,Lower Secondary,788,2312.8
Turkey,2010,Lower Secondary,792,13915.2
Turkmenistan,2010,Lower Secondary,795,518.3
Uganda,2010,Lower Secondary,800,2046.4
Ukraine,2010,Lower Secondary,804,5163.7
United Arab Emirates,2010,Lower Secondary,784,1391.6
United Kingdom of Great Britain and Northern Ireland,2010,Lower Secondary,826,18540.6
United Republic of Tanzania,2010,Lower Secondary,834,2161
United States of America,2010,Lower Secondary,840,28295.4
Uruguay,2010,Lower Secondary,858,710.5
Vanuatu,2010,Lower Secondary,548,24
Venezuela (Bolivarian Republic of),2010,Lower Secondary,862,5164.4
Viet Nam,2010,Lower Secondary,704,21872.3
World,2010,Lower Secondary,900,1165893.5
Yemen,2010,Lower Secondary,887,0
Zambia,2010,Lower Secondary,894,1457.5
Zimbabwe,2010,Lower Secondary,716,2006
Afghanistan,2010,Upper Secondary,4,1050
Albania,2010,Upper Secondary,8,702.3
Algeria,2010,Upper Secondary,12,7264.7
Angola,2010,Upper Secondary,24,414.8
Argentina,2010,Upper Secondary,32,7680.3
Armenia,2010,Upper Secondary,51,1496
Aruba,2010,Upper Secondary,533,8.7
Australia,2010,Upper Secondary,36,9940.8
Austria,2010,Upper Secondary,40,3464.7
Azerbaijan,2010,Upper Secondary,31,4779
Bahamas,2010,Upper Secondary,44,153.8
Bahrain,2010,Upper Secondary,48,238.4
Bangladesh,2010,Upper Secondary,50,14472.6
Belarus,2010,Upper Secondary,112,5116.4
Belgium,2010,Upper Secondary,56,3099.5
Belize,2010,Upper Secondary,84,40.9
Benin,2010,Upper Secondary,204,268.2
Bhutan,2010,Upper Secondary,64,24.5
Bolivia (Plurinational State of),2010,Upper Secondary,68,1389.4
Bosnia and Herzegovina,2010,Upper Secondary,70,1553.2
Botswana,2010,Upper Secondary,72,270.5
Brazil,2010,Upper Secondary,76,39150.2
Bulgaria,2010,Upper Secondary,100,2877.2
Burkina Faso,2010,Upper Secondary,854,251.1
Burundi,2010,Upper Secondary,108,89.5
Cambodia,2010,Upper Secondary,116,581.1
Cameroon,2010,Upper Secondary,120,1048.7
Canada,2010,Upper Secondary,124,7165.7
Cape Verde,2010,Upper Secondary,132,23.5
Central African Republic,2010,Upper Secondary,140,123
Chad,2010,Upper Secondary,148,154.6
Chile,2010,Upper Secondary,152,5012.2
China,2010,Upper Secondary,156,188097.3
Colombia,2010,Upper Secondary,170,8501
Comoros,2010,Upper Secondary,174,29.5
Congo,2010,Upper Secondary,178,177.3
Costa Rica,2010,Upper Secondary,188,608.3
Cote d'Ivoire,2010,Upper Secondary,384,508.3
Croatia,2010,Upper Secondary,191,1915.3
Cuba,2010,Upper Secondary,192,3576.6
Curaçao,2010,Upper Secondary,531,25.3
Cyprus,2010,Upper Secondary,196,341.5
Czech Republic,2010,Upper Secondary,203,5606.8
Democratic People's Republic of Korea,2010,Upper Secondary,408,14299.4
Democratic Republic of the Congo,2010,Upper Secondary,180,4646.2
Denmark,2010,Upper Secondary,208,1829.4
Dominican Republic,2010,Upper Secondary,214,1236.9
Ecuador,2010,Upper Secondary,218,2096.6
Egypt,2010,Upper Secondary,818,18088
El Salvador,2010,Upper Secondary,222,629.3
Equatorial Guinea,2010,Upper Secondary,226,47
Estonia,2010,Upper Secondary,233,398.2
Ethiopia,2010,Upper Secondary,231,2222.5
Fiji,2010,Upper Secondary,242,132.5
Finland,2010,Upper Secondary,246,1746.8
France,2010,Upper Secondary,250,20298.5
French Guiana,2010,Upper Secondary,254,39.9
French Polynesia,2010,Upper Secondary,258,83.7
Gabon,2010,Upper Secondary,266,53.4
Gambia,2010,Upper Secondary,270,88.5
Georgia,2010,Upper Secondary,268,1665.1
Germany,2010,Upper Secondary,276,33995.9
Ghana,2010,Upper Secondary,288,1774.4
Greece,2010,Upper Secondary,300,2897.5
Guadeloupe,2010,Upper Secondary,312,116.5
Guatemala,2010,Upper Secondary,320,1041.7
Guinea,2010,Upper Secondary,324,366.6
Guinea-Bissau,2010,Upper Secondary,624,84.8
Guyana,2010,Upper Secondary,328,175.4
Haiti,2010,Upper Secondary,332,1022.2
Honduras,2010,Upper Secondary,340,528.7
Hong Kong Special Administrative Region of China,2010,Upper Secondary,344,1758.3
Hungary,2010,Upper Secondary,348,3947.5
Iceland,2010,Upper Secondary,352,75.5
India,2010,Upper Secondary,356,192006.4
Indonesia,2010,Upper Secondary,360,41242
Iran (Islamic Republic of),2010,Upper Secondary,364,13855.3
Iraq,2010,Upper Secondary,368,1362.2
Ireland,2010,Upper Secondary,372,939.5
Israel,2010,Upper Secondary,376,1459.9
Italy,2010,Upper Secondary,380,16885.7
Jamaica,2010,Upper Secondary,388,252.1
Japan,2010,Upper Secondary,392,51010.5
Jordan,2010,Upper Secondary,400,1004.3
Kazakhstan,2010,Upper Secondary,398,7648.2
Kenya,2010,Upper Secondary,404,3757
Kiribati,2010,Upper Secondary,296,22.7
Kuwait,2010,Upper Secondary,414,361.8
Kyrgyzstan,2010,Upper Secondary,417,2360.2
Lao People's Democratic Republic,2010,Upper Secondary,418,395.3
Latvia,2010,Upper Secondary,428,952.7
Lebanon,2010,Upper Secondary,422,593.9
Lesotho,2010,Upper Secondary,426,108.6
Liberia,2010,Upper Secondary,430,289.1
Lithuania,2010,Upper Secondary,440,764.4
Luxembourg,2010,Upper Secondary,442,154
Macao Special Administrative Region of China,2010,Upper Secondary,446,131.9
Madagascar,2010,Upper Secondary,450,370.5
Malawi,2010,Upper Secondary,454,735.9
Malaysia,2010,Upper Secondary,458,7997.5
Maldives,2010,Upper Secondary,462,9.9
Mali,2010,Upper Secondary,466,210.2
Malta,2010,Upper Secondary,470,64.2
Martinique,2010,Upper Secondary,474,105
Mauritius,2010,Upper Secondary,480,285.4
Mexico,2010,Upper Secondary,484,13130
Micronesia (Federated States of),2010,Upper Secondary,583,17.4
Mongolia,2010,Upper Secondary,496,903.8
Montenegro,2010,Upper Secondary,499,257
Morocco,2010,Upper Secondary,504,2184.3
Mozambique,2010,Upper Secondary,508,614.2
Myanmar,2010,Upper Secondary,104,3197.5
Namibia,2010,Upper Secondary,516,235.1
Nepal,2010,Upper Secondary,524,3639.4
Netherlands,2010,Upper Secondary,528,5249.4
New Caledonia,2010,Upper Secondary,540,65
New Zealand,2010,Upper Secondary,554,1326.6
Nicaragua,2010,Upper Secondary,558,554.5
Niger,2010,Upper Secondary,562,48.7
Nigeria,2010,Upper Secondary,566,17081.4
Norway,2010,Upper Secondary,578,1582.9
Occupied Palestinian Territory,2010,Upper Secondary,275,494.2
Oman,2010,Upper Secondary,512,498.4
Pakistan,2010,Upper Secondary,586,17589.8
Panama,2010,Upper Secondary,591,683.5
Paraguay,2010,Upper Secondary,600,683.6
Peru,2010,Upper Secondary,604,7519.4
Philippines,2010,Upper Secondary,608,26303.1
Poland,2010,Upper Secondary,616,17754.9
Portugal,2010,Upper Secondary,620,1431.3
Puerto Rico,2010,Upper Secondary,630,1265.6
Qatar,2010,Upper Secondary,634,335.2
Republic of Korea,2010,Upper Secondary,410,16301.9
Republic of Moldova,2010,Upper Secondary,498,1641.7
Reunion,2010,Upper Secondary,638,178.5
Romania,2010,Upper Secondary,642,6902.5
Russian Federation,2010,Upper Secondary,643,71344.8
Rwanda,2010,Upper Secondary,646,267.2
Saint Lucia,2010,Upper Secondary,662,35.8
Saint Vincent and the Grenadines,2010,Upper Secondary,670,16.6
Samoa,2010,Upper Secondary,882,13.9
Sao Tome and Principe,2010,Upper Secondary,678,4.9
Saudi Arabia,2010,Upper Secondary,682,4353
Senegal,2010,Upper Secondary,686,420.1
Serbia,2010,Upper Secondary,688,3644.6
Sierra Leone,2010,Upper Secondary,694,273
Singapore,2010,Upper Secondary,702,915.6
Slovakia,2010,Upper Secondary,703,2807
Slovenia,2010,Upper Secondary,705,962.3
